competition,season,teams,main_role,player_id,player_name,presences,matches_started,full_matches,minutes_played,substitutions_in,substitutions_out,yellow_cards,red_cards,shots_attempted,shots_on_target,goals,xg_total,xg_avg,headers,assists,key_passes,passes_attempted,passes_completed,progressive_passes,crosses,switches,avg_pass_angle,avg_pass_length,carries_attempted,carry_distance_total,progressive_carries,carries_to_penalty_area,dribbles_attempted,dribbles_completed,dribble_overruns,duels_attempted,duels_won,interceptions_attempted,interceptions_won,blocks,clearances,ball_recoveries,pressures,dispossessed,fouls_committed,fouls_won,own_goals,gk_goals_conceded,gk_shots_faced,gk_saves,gk_penalties_saved,gk_clean_sheet
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Goalkeeper,42462,Alexander Manninger,2,1,1,100,1,0,0,0,0,0,0,0.0,0.0,0,0,0,36,25,26,0,0,-0.24,78.3,12,59.31,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,8,2,0,1
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Goalkeeper,8314,Marwin Hitz,33,33,32,3111,0,1,2,0,0,0,0,0.0,0.0,0,0,1,1229,795,911,0,28,-5.92,1587.95,590,4095.79,104,0,0,0,0,1,0,0,0,2,1,157,5,0,0,9,0,49,351,126,1,11
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Back,9400,Daniel Opare,4,4,4,379,0,0,2,0,2,0,0,0.05,0.05,0,0,2,138,89,47,7,4,-3.23,88.89,99,618.66,9,2,14,6,3,8,0,5,2,7,9,23,47,6,6,7,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Back,8237,Paul Verhaegh,25,25,24,2308,0,1,8,0,10,7,6,5.19,3.59,0,2,16,1325,1064,366,46,37,-26.8,551.34,804,3717.82,59,5,9,6,1,69,5,23,6,52,67,89,247,9,13,19,1,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Center Back,40543,Hong Jeong-Ho,23,19,16,1804,4,3,4,0,15,6,2,1.46,1.43,7,0,3,919,776,279,2,82,-7.52,573.33,676,3314.03,36,1,2,2,0,67,4,16,4,44,129,63,156,2,24,14,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Center Back,22826,Jan-Ingwer Callsen-Bracker,10,8,8,784,2,0,1,0,5,1,1,0.24,0.23,1,0,1,346,291,96,0,23,-2.62,267.1,256,1291.53,13,0,0,0,0,27,3,7,3,26,63,28,81,0,14,4,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Center Back,8318,Jeffrey Gouweleeuw,11,11,10,1039,0,0,2,1,2,2,0,0.76,0.38,0,0,3,511,403,195,1,32,-5.14,306.04,376,2338.57,45,0,3,2,0,51,5,9,2,25,64,24,121,1,17,6,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Left Center Back,4174,Ragnar Klavan,31,31,30,2921,0,1,2,0,9,4,0,0.84,0.84,7,0,6,1501,1266,440,2,89,18.82,884.28,1129,7239.51,112,1,2,2,0,78,12,26,12,53,187,95,284,4,24,16,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Left Back,4279,Konstantinos Stafylidis,11,8,6,726,3,2,2,0,10,4,1,0.28,0.19,0,0,3,381,268,132,21,21,11.42,260.92,234,1297.77,18,0,8,6,0,32,6,15,5,27,41,43,97,7,10,6,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Left Back,40480,Markus Feulner,18,10,8,1148,8,2,5,0,13,4,1,0.84,0.45,0,0,7,441,316,111,23,10,-5.22,364.6,321,1803.59,31,12,21,11,0,56,8,9,5,20,29,67,259,23,30,20,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Left Back,8319,Philipp Max,26,23,20,2190,3,3,3,0,8,2,0,0.18,0.12,0,0,14,1031,761,268,66,35,28.24,565.74,635,3982.57,94,2,9,4,1,91,5,26,9,44,62,87,368,11,36,21,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Defensive Midfield,24117,Christoph Janker,11,3,1,413,8,2,2,0,1,0,0,0.04,0.04,1,0,0,150,124,32,0,5,0.93,233.63,98,444.51,3,0,1,0,0,13,2,5,1,6,15,14,63,3,10,7,0,0,0,0,0,0
Germany - 1. Bundesliga,2015/2016,['Augsburg'],Right Defensive Midfield,8207,Dominik Kohr,31,30,17,2596,1,13,12,0,23,2,0,1.21,0.61,3,2,5,1124,860,285,5,55,-1.92,654.27,753,4028.11,63,5,25,10,1,123,14,43,13,79,75,107,667,21,78,51,0,0,0,0,0,0
